試合,公式戦,J1,年月日,大会名ほか,相手チーム,会場,項目,H/A,スコア,得点,失点,観客数,date,year,month,day,weekday,result,延期or中止
1430,1126,800,2017.06.18,2017明治安田生命J1リーグ 第15節,ジュビロ磐田,埼玉スタジアム2002,L,H,● 2 - 4,2,4,34766,2017-06-18,2017,6,18,日,L,False
1431,1127,,2017.06.21,第97回天皇杯全日本サッカー選手権大会 2回戦,グルージャ盛岡,浦和駒場スタジアム,E,N,○ 3 - 2,3,2,5038,2017-06-21,2017,6,21,水,W,False
1432,1128,801,2017.06.25,2017明治安田生命J1リーグ 第16節,サガン鳥栖,ベストアメニティスタジアム,L,A,● 1 - 2,1,2,17913,2017-06-25,2017,6,25,日,L,False
1433,1129,802,2017.07.01,2017明治安田生命J1リーグ 第17節,サンフレッチェ広島,埼玉スタジアム2002,L,H,○ 4 - 3,4,3,30853,2017-07-01,2017,7,1,土,W,False
1434,1130,803,2017.07.05,2017明治安田生命J1リーグ 第13節,川崎フロンターレ,等々力陸上競技場,L,A,● 1 - 4,1,4,22561,2017-07-05,2017,7,5,水,L,False
1435,1131,804,2017.07.09,2017明治安田生命J1リーグ 第18節,アルビレックス新潟,埼玉スタジアム2002,L,H,○ 2 - 1,2,1,28740,2017-07-09,2017,7,9,日,W,False
1436,1132,,2017.07.12,第97回天皇杯全日本サッカー選手権大会 3回戦,ロアッソ熊本,浦和駒場スタジアム,E,N,○ 1 - 0,1,0,5806,2017-07-12,2017,7,12,水,W,False
1437,,,2017.07.15,明治安田生命Jリーグワールドチャレンジ2017,ボルシア・ドルトムント(ドイツ),埼玉スタジアム2002,I,N,● 2 - 3,2,3,58327,2017-07-15,2017,7,15,土,L,False
1438,1133,805,2017.07.22,2017明治安田生命J1リーグ 第22節,セレッソ大阪,ヤンマースタジアム長居,L,A,● 2 - 4,2,4,32711,2017-07-22,2017,7,22,土,L,False
1439,1134,806,2017.07.29,2017明治安田生命J1リーグ 第19節,北海道コンサドーレ札幌,札幌ドーム,L,A,● 0 - 2,0,2,33353,2017-07-29,2017,7,29,土,L,False
1440,1135,807,2017.08.05,2017明治安田生命J1リーグ 第20節,大宮アルディージャ,埼玉スタジアム2002,L,H,△ 2 - 2,2,2,45411,2017-08-05,2017,8,5,土,D,False
1441,1136,808,2017.08.09,2017明治安田生命J1リーグ 第21節,ヴァンフォーレ甲府,山梨中銀スタジアム,L,A,○ 1 - 0,1,0,14489,2017-08-09,2017,8,9,水,W,False
1442,1137,,2017.08.15,スルガ銀行チャンピオンシップ2017 SAITAMA,シャペコエンセ(ブラジル),埼玉スタジアム2002,SBCS,N,○ 1 - 0,1,0,11002,2017-08-15,2017,8,15,火,W,False
1443,1138,809,2017.08.19,2017明治安田生命J1リーグ 第23節,FC東京,埼玉スタジアム2002,L,H,○ 2 - 1,2,1,31818,2017-08-19,2017,8,19,土,W,False
1444,1139,,2017.08.23,AFCチャンピオンズリーグ2017 準々決勝 第1戦,川崎フロンターレ,等々力陸上競技場,ACL,A,● 1 - 3,1,3,18080,2017-08-23,2017,8,23,水,L,False
1445,1140,810,2017.08.27,2017明治安田生命J1リーグ 第24節,清水エスパルス,IAIスタジアム日本平,L,A,○ 2 - 1,2,1,16194,2017-08-27,2017,8,27,日,W,False
1446,1141,,2017.08.30,2017JリーグYBCルヴァンカップ 準々決勝 第1戦,セレッソ大阪,ヤンマースタジアム長居,LC,A,△ 0 - 0,0,0,7784,2017-08-30,2017,8,30,水,D,False
1447,1142,,2017.09.03,2017JリーグYBCルヴァンカップ 準々決勝 第2戦,セレッソ大阪,埼玉スタジアム2002,LC,H,△ 2 - 2,2,2,23116,2017-09-03,2017,9,3,日,D,False
1448,1143,811,2017.09.09,2017明治安田生命J1リーグ 第25節,柏レイソル,埼玉スタジアム2002,L,H,● 1 - 2,1,2,31619,2017-09-09,2017,9,9,土,L,False
1449,1144,,2017.09.13,AFCチャンピオンズリーグ2017 準々決勝 第2戦,川崎フロンターレ,埼玉スタジアム2002,ACL,H,○ 4 - 1,4,1,26785,2017-09-13,2017,9,13,水,W,False
1450,1145,812,2017.09.17,2017明治安田生命J1リーグ 第26節,ジュビロ磐田,エコパスタジアム,L,A,△ 1 - 1,1,1,23783,2017-09-17,2017,9,17,日,D,False
